PMID,Title,Source,PubDate
39601342,Histone Deacetylase 7-Derived 7-Amino Acid Peptide Increases Skin Wound Healing via Regulating Epidermal Fibroblast Proliferation and Migration.,J Cell Mol Med,2024 Nov
39598765,Enhancing Skin Wound Healing in Diabetic Mice Using SIKVAV-Modified Chitosan Hydrogels.,Molecules,2024 Nov 14
39598561,Cord Blood Platelet Lysate-Loaded Thermo-Sensitive Hydrogels for Potential Treatment of Chronic Skin Wounds.,Pharmaceutics,2024 Nov 11
39598552,Injectable Photocrosslinked Hydrogel Dressing Encapsulating Quercetin-Loaded Zeolitic Imidazolate Framework-8 for Skin Wound Healing.,Pharmaceutics,2024 Nov 10
39598423,The Role of Freeze-Drying as a Multifunctional Process in Improving the Properties of Hydrogels for Medical Use.,Pharmaceuticals (Basel),2024 Nov 10
39590109,Poly(Vinyl Alcohol) Drug and PVA-Drug-Surfactant Complex Organogel with Dimethyl Sulfoxide as a Drug Delivery System.,Gels,2024 Nov 20
39590106,Wound Healing Potential of Herbal Hydrogel Formulations of Cedrus brevifolia Extracts in Mice.,Gels,2024 Nov 19
39590080,Activated Charcoal-Alginate Platform for Simultaneous Local Delivery of Bioactive Agents: At the Nexus of Antimicrobial and Cytotoxic Activity of Zn(2+) Ions.,Gels,2024 Nov 8
39590035,Arginine-Biofunctionalized Ternary Hydrogel Scaffolds of Carboxymethyl Cellulose-Chitosan-Polyvinyl Alcohol to Deliver Cell Therapy for Wound Healing.,Gels,2024 Oct 23
39588917,Microneedles Constructed by Swellable Hydrogels Loaded with Celastrol for Efficient Treatment of Skin Infections Induced by Drug-Resistant Bacterial Strains.,Langmuir,2024 Nov 26
39579810,A gelatin/acrylamide-based hydrogel for smart drug release monitoring and radiation-induced wound repair in breast cancer.,Int J Biol Macromol,2024 Nov 22
39577507,Asymmetric natural wound dressing based on porous chitosan-alginate hydrogel/electrospun PCL-silk sericin loaded by 10-HDA for skin wound healing: In vitro and in vivo studies.,Int J Pharm,2024 Nov 20
39577481,"Construction of piezoelectric, conductive and injectable hydrogels to promote wound healing through electrical stimulation.",Acta Biomater,2024 Nov 20
39575827,Innovative Hydrogel Design: Tailoring Immunomodulation for Optimal Chronic Wound Recovery.,Adv Sci (Weinh),2024 Nov 22
39570390,A Versatile Composite Hydrogel with Spatiotemporal Drug Delivery of Mesoporous ZnO and Recombinant Human Collagen for Diabetic Infected Wound Healing.,Biomacromolecules,2024 Nov 21
39567156,Electro-responsive hyaluronic acid-based click-hydrogels for wound healing.,Carbohydr Polym,2025 Jan 15
39567134,Self-assembled near-infrared-photothermal antibacterial Hericium erinaceus β-glucan/tannic acid/Fe (III) hydrogel for accelerating infected wound healing.,Carbohydr Polym,2025 Jan 15
39566777,Microenvironment-responsive Bletilla polysaccharide hydrogel with photothermal antibacterial and macrophage polarization-regulating properties for diabetic wound healing.,Int J Biol Macromol,2024 Nov 19
39562133,Co-delivery of antimicrobial peptide and Prussian blue nanoparticles by chitosan/polyvinyl alcohol hydrogels.,Carbohydr Polym,2025 Jan 15
39562129,Injectable self-healing alginate/PEG hydrogels cross-linked via thiol-Michael addition bonds for hemostasis and wound healing.,Carbohydr Polym,2025 Jan 15
39562061,Zinc-induced photocrosslinked konjac glucomannan/glycyrrhizic acid hydrogel promotes skin wound healing in diabetic mice through immune regulation.,Carbohydr Polym,2025 Jan 15
