PMID	Title	Source	PubDate
37173025	UV cross-linked injectable non-swelling dihydrocaffeic acid grafted chitosan hydrogel for promoting wound healing.	Carbohydr Polym	2023 Aug 15
37173024	Hyaluronic acid-based dual network hydrogel with sustained release of platelet-rich plasma as a diabetic wound dressing.	Carbohydr Polym	2023 Aug 15
37173022	Carboxylated nanocellulose for wound healing applications - Increase of washing efficiency after chemical pre-treatment and stability of homogenized gels over 10 months.	Carbohydr Polym	2023 Aug 15
37171125	Natural Polymer-Based Thin Film Strategies for Skin Regeneration in Lieu of Regenerative Dentistry.	Tissue Eng Part C Methods	2023 Jun
37168862	Physiological fibrin hydrogel modulates immune cells and molecules and accelerates mouse skin wound healing.	Front Immunol	2023
37167893	Snail-inspired AFG/GelMA hydrogel accelerates diabetic wound healing via inflammatory cytokines suppression and macrophage polarization.	Biomaterials	2023 Aug
37166230	Blood-Glucose-Depleting Hydrogel Dressing as an Activatable Photothermal/Chemodynamic Antibacterial Agent for Healing Diabetic Wounds.	ACS Appl Mater Interfaces	2023 May 24
37165902	A spatiotemporal release hydrogel based on an M1-to-M2 immunoenvironment for wound management.	J Mater Chem B	2023 May 10
37164138	Chlorhexidine-loaded polysulfobetaine/keratin hydrogels with antioxidant and antibacterial activity for infected wound healing.	Int J Biol Macromol	2023 Jul 1
37162980	Exploring the Role of Spatial Confinement in Immune Cell Recruitment and Regeneration of Skin Wounds.	bioRxiv	2023 Apr 30
37158203	Facile synthesis of hydroxypropyl chitosan-egg white hydrogel dressing with antibacterial and antioxidative activities for accelerating the healing of burn wounds.	J Mater Chem B	2023 May 17
37157875	Engineering ultrasound-activated piezoelectric hydrogels with antibacterial activity to promote wound healing.	J Mater Chem B	2023 May 17
37152712	Double-network hydrogel enhanced by SS31-loaded mesoporous polydopamine nanoparticles: Symphonic collaboration of near-infrared photothermal antibacterial effect and mitochondrial maintenance for full-thickness wound healing in diabetes mellitus.	Bioact Mater	2023 Sep
37151861	A bibliometric analysis of hotpots and trends for the relationship between skin inflammation and regeneration.	Front Surg	2023
37148939	Double network hydrogel based on curdlan and flaxseed gum with photothermal antibacterial properties for accelerating infectious wound healing.	Int J Biol Macromol	2023 Jul 1
37146618	Resveratrol loaded native silk fiber-sericin hydrogel double interpenetrating bioactive wound dressing facilitates full-thickness skin wound healing.	Biomed Mater	2023 May 15
37146116	Treatment of a Snakebite Injury With Secondary Bacterial Infection: A Case Study.	J Wound Ostomy Continence Nurs	2023 May-Jun 01
37145770	Antibacterial Conductive Collagen-Based Hydrogels for Accelerated Full-Thickness Wound Healing.	ACS Appl Mater Interfaces	2023 May 17
37139829	CuS Hybrid Hydrogel for Near-Infrared-Enhanced Infected Wound Healing: A Gelatin-Assisted Synthesis and Direct Incorporation Strategy.	ACS Appl Mater Interfaces	2023 May 17
37129870	Hybrid Dry Powders for Rapid Sealing of Gastric Perforations under an Endoscope.	ACS Nano	2023 May 23
37126576	Injectable In Situ Photocrosslinked Hydrogel Dressing for Infected Wound Healing.	ACS Appl Bio Mater	2023 May 15
37125261	A biocompatible double-crosslinked gelatin/ sodium alginate/dopamine/quaterniazed chitosan hydrogel for wound dressings based on 3D bioprinting technology.	Int J Bioprint	2023
